Model,Date,GFLOPS,"Release Price (USD)"
"GeForce 2 GTS Pro",2000/12/05,1.6,329
"GeForce 3",2001/02/27,1.6,499
"GeForce 3 Ti500",2001/10/01,1.9,349
"GeForce 3 Ti200",2001/10/01,1.4,149
"GeForce FX 5200",2003/03/06,2,199
"GeForce FX 5200 Ultra",2003/03/06,2.6,199
"GeForce FX 5600 Ultra",2003/03/06,2.8,199
"GeForce FX 5800",2003/03/06,3.2,299
"GeForce FX 5800 Ultra",2003/03/06,4,399
"GeForce FX 5900 / 5900 XT / 5900 ZT",2003/05/12,3.2,399
"GeForce FX 5700 Ultra",2003/10/23,3.8,199
"GeForce FX 5950 Ultra",2003/10/23,3.8,499
"GeForce FX 5900 Ultra",2003/10/23,3.6,499
"GeForce 6200 TurboCache 64-TC/256MB",2004/12/15,2.8,129
"GeForce 7900 GX2",2006/04/30,48,599
"GeForce 7900 GS/ GS AGP",2006/05/01,18,259
"GeForce 7950 GX2",2006/06/05,48,599
"GeForce 8800 GTX",2006/11/08,147.2,599
"GeForce 8800 GTS 640",2006/11/08,98.5,449
"GeForce 8800 GTS 320",2007/02/12,98.5,269
"GeForce 8600 GT",2007/04/17,34.6,159
"GeForce 8500 GT",2007/04/17,14.7,129
"GeForce 8600 GTS",2007/04/17,43.2,199
"GeForce 8800 Ultra",2007/05/02,156.7,829
"Radeon HD 2900 XT",2007/05/14,475.5,399
"Radeon HD 2600 PRO",2007/06/28,144,89
"Radeon HD 2400 PRO",2007/06/28,42,50
"Radeon HD 2400 XT",2007/06/28,52,75
"Radeon HD 2600 XT",2007/06/28,192,119
"Radeon HD 2900 PRO",2007/09/25,384,250
"GeForce 8800 GT",2007/10/29,134.4,349
"Radeon HD 2900 GT",2007/11/06,288.5,200
"Radeon HD 3870",2007/11/19,497.3,219
"Radeon HD 3850",2007/11/19,427.5,179
"GeForce 8800 GTS 512",2007/12/11,166.4,349
"Radeon HD 3870 X2",2008/01/28,1056,449
"GeForce 9600 GT",2008/02/21,83.2,199
"GeForce 9800 GTX",2008/03/28,172.8,299
"Radeon HD 3830",2008/04/01,427.5,129
"Radeon HD 3850 X2",2008/04/04,855,349
"GeForce 9800 GX2",2008/05/18,307.2,599
"GeForce GTX 260",2008/06/16,221.2,449
"GeForce GTX 280",2008/06/16,289,649
"Radeon HD 4870",2008/06/25,1200,299
"Radeon HD 4850",2008/06/25,1000,199
"GeForce 9800 GT (55 nm)",2008/07/21,123.2,159
"GeForce 9800 GT (65 nm)",2008/07/21,134.4,159
"GeForce GTX 260 (55 nm)",2008/07/23,221.2,449
"Radeon HD 4870 X2",2008/08/12,2400,449
"Radeon HD 4670",2008/09/10,480,79
"GeForce GTX 260 (216 Cores)",2008/09/16,248.8,299
"Radeon HD 4830",2008/10/21,736,130
"Radeon HD 4850 X2",2008/11/07,2000,339
"GeForce GTX 260 (216 Cores, 55 nm)",2008/11/27,248.8,299
"GeForce GTX 285",2008/12/23,311,359
"GeForce GTX 295",2009/01/08,553,499
"GeForce GTX 275",2009/01/15,303.8,249
"GeForce 9800 GTX+",2009/01/16,188.9,229
"GeForce GTS 250",2009/03/04,179.7,199
"Radeon HD 4890",2009/04/02,1360,249
"Radeon HD 4770",2009/04/28,960,109
"Radeon HD 5870",2009/09/23,2720,379
"Radeon HD 5850",2009/09/30,2088,259
"Radeon HD 5770",2009/10/13,1360,159
"Radeon HD 5750",2009/10/13,1008,129
"GeForce GT 240",2009/11/17,105.6,79
"Radeon HD 5970",2009/11/18,4640,599
"Radeon HD 5670",2010/01/14,620,99
"Radeon HD 5450",2010/02/04,104,50
"Radeon HD 5570",2010/02/09,520,80
"Radeon HD 5550",2010/02/09,352,70
"Radeon HD 5830",2010/02/25,1792,239
"Radeon HD 5870Eyefinity Edition",2010/03/11,2720,479
"GeForce GTX 480",2010/03/26,1344.96,499
"GeForce GTX 470",2010/03/26,1088.64,349
"GeForce GTX 480",2010/03/26,1344.96,499
"GeForce GTX 470",2010/03/26,1088.64,349
"GeForce GTX 465",2010/03/31,855.36,279
"GeForce GTX 465",2010/05/31,855.36,279
"GeForce GTX 460",2010/07/12,907.2,229
"GeForce GTX 460",2010/07/12,907.2,199
"GeForce GTS 450",2010/09/13,601.34,129
"GeForce GT 430",2010/10/11,268.8,79
"GeForce GT 430",2010/10/11,268.8,79
"GeForce GT 430",2010/10/11,268.8,79
"Radeon HD 6870",2010/10/22,2016,239
"Radeon HD 6850",2010/10/22,1488,179
"GeForce GTX 580",2010/11/09,1581.1,499
"GeForce GTX 580",2010/11/09,1581.1,499
